"日付け","終値","始値","高値","安値","出来高","前日比%"
"2016年05月19日","435.00","453.52","454.70","433.01","30.35K","-4.08%"
"2016年05月18日","453.51","453.24","456.89","451.53","7.16K","0.06%"
"2016年05月17日","453.24","453.00","454.91","451.03","7.63K","0.05%"
"2016年05月16日","453.00","457.89","458.95","451.01","8.77K","-1.07%"
"2016年05月15日","457.89","455.80","460.67","454.71","5.64K","0.46%"
"2016年05月14日","455.80","455.76","458.50","454.10","3.61K","0.01%"
"2016年05月13日","455.77","455.01","457.49","452.00","7.13K","0.17%"
"2016年05月12日","455.00","452.28","456.10","445.94","18.08K","0.60%"
"2016年05月11日","452.28","450.70","454.67","450.05","8.03K","0.35%"
"2016年05月10日","450.70","461.56","464.00","446.17","22.57K","-2.35%"
"2016年05月09日","461.56","459.87","465.40","457.80","15.12K","0.37%"
"2016年05月08日","459.87","460.20","461.62","456.04","6.45K","-0.07%"
"2016年05月07日","460.20","461.18","463.03","458.30","7.81K","-0.21%"
"2016年05月06日","461.18","448.40","465.00","448.00","26.54K","2.85%"
"2016年05月05日","448.40","447.38","450.43","446.15","10.79K","0.23%"
"2016年05月04日","447.38","450.39","450.98","445.08","7.05K","-0.67%"
"2016年05月03日","450.39","443.73","452.00","440.10","12.16K","1.50%"
"2016年05月02日","443.73","451.12","452.50","436.01","29.74K","-1.64%"
"2016年05月01日","451.11","446.60","452.95","445.69","3.90K","1.01%"
"2016年04月30日","446.60","455.32","455.98","445.07","10.58K","-1.92%"
"2016年04月29日","455.32","450.46","457.38","445.80","13.42K","1.08%"
"2016年04月28日","450.46","444.85","450.83","435.01","25.33K","1.21%"
"2016年04月27日","445.09","468.14","469.72","443.42","40.28K","-4.92%"
"2016年04月26日","468.14","461.77","471.99","461.77","18.72K","1.38%"
"2016年04月25日","461.77","463.02","471.58","455.00","25.90K","-0.27%"
"2016年04月24日","463.01","453.69","464.98","450.20","24.13K","2.05%"
"2016年04月23日","453.69","447.80","454.60","445.67","10.16K","1.32%"
"2016年04月22日","447.80","452.26","453.15","444.55","12.21K","-0.94%"
"2016年04月21日","452.03","443.93","454.50","442.27","17.83K","1.82%"
"2016年04月20日","443.95","437.81","446.49","436.60","21.25K","1.41%"
"2016年04月19日","437.76","430.03","439.00","428.55","12.05K","1.80%"
"2016年04月18日","430.04","428.51","430.91","426.52","7.58K","0.36%"
"2016年04月17日","428.51","432.52","433.49","426.37","8.48K","-0.82%"
"2016年04月16日","432.04","431.48","435.67","430.47","7.71K","0.13%"
"2016年04月15日","431.48","426.01","432.43","426.01","15.84K","1.28%"
"2016年04月14日","426.01","424.75","426.44","424.02","4.13K","0.30%"
"2016年04月13日","424.75","426.59","427.68","423.00","6.67K","-0.43%"
"2016年04月12日","426.59","423.74","430.00","423.70","14.77K","0.67%"
"2016年04月11日","423.74","421.32","423.88","418.80","6.40K","0.57%"
"2016年04月10日","421.32","418.47","422.82","417.49","4.25K","0.68%"
"2016年04月09日","418.47","418.50","418.76","412.00","6.33K","-0.01%"
"2016年04月08日","418.50","422.28","424.48","415.50","9.85K","-0.90%"
"2016年04月07日","422.28","422.57","422.86","417.78","7.73K","-0.07%"
"2016年04月06日","422.57","423.75","424.48","421.69","5.68K","-0.28%"
"2016年04月05日","423.75","420.46","424.57","419.61","7.26K","0.78%"
"2016年04月04日","420.46","420.60","421.20","416.25","5.75K","-0.03%"
"2016年04月03日","420.60","420.30","421.73","417.56","4.25K","0.07%"
"2016年04月02日","420.30","417.90","422.80","417.53","6.12K","0.66%"
"2016年04月01日","417.56","416.02","417.60","414.00","5.41K","0.37%"
"2016年03月31日","416.02","413.20","418.25","413.04","7.27K","0.68%"
"2016年03月30日","413.20","416.00","416.00","408.58","9.04K","-0.63%"
"2016年03月29日","415.81","424.06","426.41","407.50","23.30K","-1.95%"
"2016年03月28日","424.06","427.37","427.98","422.40","9.25K","-0.77%"
"2016年03月27日","427.37","416.71","430.95","415.79","22.33K","2.56%"
"2016年03月26日","416.71","416.00","418.74","414.51","5.04K","0.17%"
"2016年03月25日","416.00","415.30","417.03","413.03","3.69K","0.17%"
"2016年03月24日","415.30","418.12","418.12","414.00","7.56K","-0.67%"
"2016年03月23日","418.12","417.70","419.72","415.83","7.19K","0.10%"
"2016年03月22日","417.69","411.88","418.68","409.88","10.20K","1.41%"
"2016年03月21日","411.88","411.25","412.14","406.00","7.82K","0.15%"
"2016年03月20日","411.25","408.41","412.97","407.92","5.66K","0.70%"
"2016年03月19日","408.41","407.70","410.73","404.00","8.96K","0.17%"
"2016年03月18日","407.70","418.75","418.86","403.01","21.09K","-2.64%"
"2016年03月17日","418.75","417.28","420.60","416.67","8.31K","0.35%"
"2016年03月16日","417.28","415.50","418.00","413.96","7.07K","0.43%"
"2016年03月15日","415.50","415.91","418.81","412.78","9.63K","-0.12%"
"2016年03月14日","415.99","411.87","417.85","411.83","9.21K","1.01%"
"2016年03月13日","411.82","410.01","416.00","410.00","7.63K","0.44%"
"2016年03月12日","410.01","420.47","421.81","406.46","17.02K","-2.49%"
"2016年03月11日","420.49","416.51","423.60","415.50","15.46K","0.96%"
"2016年03月10日","416.51","413.05","417.17","410.70","13.71K","0.86%"
"2016年03月09日","412.94","411.35","414.50","407.76","9.03K","0.39%"
"2016年03月08日","411.35","412.62","415.90","406.00","10.23K","-0.33%"
"2016年03月07日","412.70","403.75","415.30","401.60","15.31K","2.18%"
"2016年03月06日","403.91","397.36","409.50","392.02","19.71K","1.65%"
"2016年03月05日","397.36","408.82","410.14","389.74","46.95K","-2.80%"
"2016年03月04日","408.82","420.56","423.99","407.66","21.75K","-2.79%"
"2016年03月03日","420.56","422.09","424.43","416.40","20.87K","-0.39%"
"2016年03月02日","422.22","434.82","436.31","421.12","16.46K","-2.90%"
"2016年03月01日","434.82","439.16","442.79","428.50","19.63K","-0.99%"
"2016年02月29日","439.16","434.45","444.79","430.51","20.40K","1.08%"
"2016年02月28日","434.47","434.21","437.77","422.10","19.86K","0.06%"
"2016年02月27日","434.21","435.49","437.97","431.81","11.59K","-0.25%"
"2016年02月26日","435.31","424.88","435.31","419.97","18.85K","2.45%"
"2016年02月25日","424.88","426.36","429.95","419.50","13.60K","-0.35%"
"2016年02月24日","426.36","421.40","427.48","410.69","22.43K","1.24%"
"2016年02月23日","421.13","440.25","442.64","416.27","32.43K","-4.35%"
"2016年02月22日","440.27","440.49","442.48","433.44","16.34K","-0.05%"
"2016年02月21日","440.48","438.70","451.24","428.26","43.01K","0.41%"
"2016年02月20日","438.70","419.77","445.02","419.72","47.48K","4.45%"
"2016年02月19日","419.99","421.50","422.54","412.00","13.26K","-0.36%"
"2016年02月18日","421.50","414.88","426.01","413.08","25.23K","1.60%"
"2016年02月17日","414.86","407.27","421.74","405.32","30.40K","1.86%"
"2016年02月16日","407.27","399.90","408.76","398.66","13.99K","1.84%"
"2016年02月15日","399.90","408.30","412.50","395.35","30.13K","-2.06%"
"2016年02月14日","408.30","392.99","408.66","392.97","29.47K","3.90%"
"2016年02月13日","392.99","382.94","393.00","382.56","14.73K","2.61%"
"2016年02月12日","382.98","377.99","383.53","377.09","10.15K","1.32%"
"2016年02月11日","378.00","380.90","383.00","372.25","14.52K","-0.76%"
"2016年02月10日","380.89","374.31","386.52","373.13","33.67K","1.85%"
"2016年02月09日","373.97","370.49","377.60","370.28","9.08K","0.94%"
"2016年02月08日","370.49","372.01","376.74","369.10","16.88K","-0.41%"
"2016年02月07日","372.01","373.71","377.78","369.20","13.06K","-0.47%"
"2016年02月06日","373.75","386.54","386.54","366.44","40.20K","-3.31%"
"2016年02月05日","386.54","389.80","392.57","384.50","16.90K","-0.84%"
"2016年02月04日","389.80","368.98","393.89","368.65","37.34K","5.64%"
"2016年02月03日","368.98","372.90","373.97","366.00","13.20K","-1.05%"
"2016年02月02日","372.90","371.42","374.75","369.90","10.44K","0.40%"
"2016年02月01日","371.42","365.52","378.96","363.26","24.84K","1.62%"
"2016年01月31日","365.50","376.96","378.90","362.57","14.85K","-3.04%"
"2016年01月30日","376.96","377.62","380.50","374.00","10.50K","-0.18%"
"2016年01月29日","377.63","378.39","385.31","360.23","62.20K","-0.20%"
"2016年01月28日","378.39","394.70","395.48","375.61","25.03K","-4.20%"
"2016年01月27日","394.97","391.32","396.99","389.66","8.54K","0.93%"
"2016年01月26日","391.32","390.96","398.00","387.48","13.32K","0.09%"
"2016年01月25日","390.98","402.77","402.77","384.00","22.66K","-2.93%"
"2016年01月24日","402.77","385.57","407.02","385.10","23.22K","4.46%"
"2016年01月23日","385.57","380.96","394.00","379.85","21.47K","1.21%"
"2016年01月22日","380.96","411.00","411.19","371.33","62.21K","-7.31%"
"2016年01月21日","411.00","419.55","424.57","405.02","29.03K","-2.01%"
"2016年01月20日","419.41","378.93","427.98","375.01","82.80K","10.67%"
"2016年01月19日","378.96","387.04","388.35","377.44","17.19K","-2.09%"
"2016年01月18日","387.04","382.02","389.43","375.11","19.55K","1.30%"
"2016年01月17日","382.07","388.44","392.79","378.82","20.63K","-1.63%"
"2016年01月16日","388.42","359.02","392.40","353.21","74.07K","8.24%"
"2016年01月15日","358.85","429.25","429.43","358.00","123.88K","-16.40%"
"2016年01月14日","429.25","431.08","434.91","426.03","13.30K","-0.42%"
"2016年01月13日","431.08","432.04","436.36","416.37","33.24K","-0.22%"
"2016年01月12日","432.05","449.26","449.63","429.34","20.66K","-3.83%"
"2016年01月11日","449.26","449.35","452.47","443.59","14.81K","-0.02%"
"2016年01月10日","449.35","449.23","450.26","441.01","13.75K","0.03%"
"2016年01月09日","449.23","454.00","456.01","447.46","8.76K","-1.05%"
"2016年01月08日","454.00","458.78","465.00","446.75","30.45K","-1.10%"
"2016年01月07日","459.05","428.89","461.89","427.11","55.66K","7.26%"
"2016年01月06日","427.99","431.84","432.17","425.03","8.74K","-0.89%"
"2016年01月05日","431.84","432.90","434.91","428.22","11.22K","-0.24%"
"2016年01月04日","432.90","428.64","435.67","426.97","13.02K","0.99%"
"2016年01月03日","428.66","432.70","433.07","422.00","19.18K","-0.93%"
"2016年01月02日","432.70","433.98","435.79","430.00","6.38K","-0.29%"
"2016年01月01日","433.98","429.02","436.49","426.26","12.97K","1.16%"
"2015年12月31日","429.02","424.70","432.57","412.53","21.49K","1.02%"
"2015年12月30日","424.70","431.79","434.00","420.00","22.10K","-1.66%"
"2015年12月29日","431.85","420.11","432.20","418.03","22.02K","2.76%"
"2015年12月28日","420.24","422.32","429.00","417.02","24.27K","-0.50%"
"2015年12月27日","422.37","416.51","424.89","407.00","27.80K","1.41%"
"2015年12月26日","416.51","455.47","459.31","405.55","96.51K","-8.55%"
"2015年12月25日","455.47","456.13","459.99","445.86","15.14K","-0.14%"
"2015年12月24日","456.13","442.62","459.05","442.45","20.08K","3.05%"
"2015年12月23日","442.62","435.65","445.76","434.61","16.26K","1.60%"
"2015年12月22日","435.65","437.52","443.62","433.45","18.50K","-0.52%"
"2015年12月21日","437.93","442.62","445.90","424.89","43.21K","-1.06%"
"2015年12月20日","442.62","462.44","462.70","431.75","46.39K","-4.29%"
"2015年12月19日","462.46","463.52","466.99","452.81","21.14K","-0.23%"
"2015年12月18日","463.52","455.57","466.60","452.01","27.21K","1.68%"
"2015年12月17日","455.84","454.95","458.50","446.29","17.77K","0.20%"
"2015年12月16日","454.95","466.01","467.00","440.02","67.34K","-2.48%"
"2015年12月15日","466.50","442.59","466.98","442.51","41.00K","5.40%"
"2015年12月14日","442.59","432.51","448.15","427.62","27.33K","2.21%"
"2015年12月13日","433.00","435.61","443.81","418.30","33.60K","-0.61%"
"2015年12月12日","435.67","457.00","475.00","404.39","106.47K","-4.52%"
"2015年12月11日","456.28","414.94","457.00","414.80","72.67K","9.96%"
"2015年12月10日","414.94","418.73","421.00","411.20","21.39K","-0.91%"
"2015年12月09日","418.73","422.00","426.05","406.50","53.65K","-0.49%"
"2015年12月08日","420.78","396.70","421.44","388.39","30.42K","6.07%"
"2015年12月07日","396.70","390.60","403.81","384.86","35.18K","1.56%"
"2015年12月06日","390.60","390.01","406.77","386.01","57.86K","0.15%"
"2015年12月05日","390.00","363.17","394.00","362.24","45.80K","7.39%"
"2015年12月04日","363.17","360.53","364.37","354.31","14.64K","0.68%"
