,close,high,low,open,time,volumefrom,volumeto,timestamp
1336,652438,680422,649001,679106,1530144000,1323.97,889069820.13,2018-06-28 09:00:00
1337,686938,697500,646102,652438,1530230400,1718.23,1130257814.04,2018-06-29 09:00:00
1338,707873,717499,684903,686938,1530316800,1374.52,968374744.8,2018-06-30 09:00:00
1339,703750,713563,694196,707873,1530403200,1125.88,792728885.33,2018-07-01 09:00:00
1340,732251,738999,695745,703750,1530489600,1506.07,1081685497.41,2018-07-02 09:00:00
1341,719532,738337,715251,732251,1530576000,1375.83,1004777017.49,2018-07-03 09:00:00
1342,727441,746500,706904,719532,1530662400,1548.0,1121401624.62,2018-07-04 09:00:00
1343,723064,739524,715067,727441,1530748800,1534.77,1117565311.31,2018-07-05 09:00:00
1344,729474,734213,714877,723064,1530835200,1131.7,818540194.97,2018-07-06 09:00:00
1345,742904,749331,719750,729474,1530921600,951.5,692468168.99,2018-07-07 09:00:00
1346,738454,746692,735000,742904,1531008000,851.96,631812843.96,2018-07-08 09:00:00
1347,738596,752999,733999,738454,1531094400,915.57,677659871.9,2018-07-09 09:00:00
1348,701922,739657,698521,738596,1531180800,1294.88,931843280.04,2018-07-10 09:00:00
1349,715740,715996,699099,701922,1531267200,1242.33,879446007.94,2018-07-11 09:00:00
1350,703787,715781,684722,715740,1531353600,1328.31,928426922.19,2018-07-12 09:00:00
1351,699389,711650,689600,703787,1531440000,1157.84,812766961.97,2018-07-13 09:00:00
1352,703165,711066,696241,699389,1531526400,917.87,643912516.02,2018-07-14 09:00:00
1353,712677,716509,700823,703165,1531612800,792.43,562634460.39,2018-07-15 09:00:00
1354,756702,759242,712215,712677,1531699200,1494.54,1098837635.02,2018-07-16 09:00:00
1355,822501,839783,749003,756702,1531785600,1647.68,1291888896.12,2018-07-17 09:00:00
1356,824999,848400,809657,822501,1531872000,2105.65,1748147973.41,2018-07-18 09:00:00
1357,835043,843541,815124,824999,1531958400,1557.8,1289118870.86,2018-07-19 09:00:00
1358,819870,855483,812512,835043,1532044800,1660.79,1378673811.48,2018-07-20 09:00:00
1359,824907,829371,804804,819870,1532131200,1212.02,992487630.26,2018-07-21 09:00:00
1360,823110,840830,817001,824907,1532217600,1170.06,969407157.78,2018-07-22 09:00:00
1361,860271,868843,820500,823110,1532304000,1616.06,1377286025.27,2018-07-23 09:00:00
1362,932894,943981,857000,860271,1532390400,2121.62,1906096903.65,2018-07-24 09:00:00
1363,903786,942343,888249,932894,1532476800,1954.12,1787689345.29,2018-07-25 09:00:00
1364,879501,919749,871234,903786,1532563200,1774.37,1606882950.61,2018-07-26 09:00:00
1365,907562,917031,862637,879501,1532649600,1783.69,1584863736.26,2018-07-27 09:00:00
1366,910251,912998,895335,907562,1532736000,1385.64,1255132799.79,2018-07-28 09:00:00
1367,907567,916799,901561,910251,1532822400,1264.6,1149193856.13,2018-07-29 09:00:00
1368,902683,915751,868677,907567,1532908800,1765.4,1589150484.36,2018-07-30 09:00:00
1369,862322,902999,852280,902683,1532995200,1799.3,1584113879.05,2018-07-31 09:00:00
1370,847751,865337,831258,862322,1533081600,1990.84,1681842818.61,2018-08-01 09:00:00
1371,841100,858551,832785,847751,1533168000,1602.58,1356201492.33,2018-08-02 09:00:00
1372,824771,841770,814759,841100,1533254400,1864.67,1538587390.75,2018-08-03 09:00:00
1373,780499,831708,769017,824771,1533340800,1752.11,1402460606.8,2018-08-04 09:00:00
1374,782779,788540,765277,780499,1533427200,1684.8,1309560808.14,2018-08-05 09:00:00
1375,771297,795479,760501,782779,1533513600,1991.46,1551736911.66,2018-08-06 09:00:00
